	CC_MI_H30	CC_MI_H39	PF_LM_H03	PF_LM_H08	PF_LM_H14	PF_LM_H16	PF_MI_H01	PF_MI_H06	PF_MI_H12	PF_MI_H13	PF_MM_H17	PF_MM_H19	PF_MM_H20	PF_SM_H02	PF_SM_H10	PF_SM_H11	PF_WS_H04	PF_WS_H07	PF_WS_H09	PF_WS_H15	UP_MI_H41	UP_MI_H43	UP_MI_H57	UP_MI_H59
aggregates-combined-assembly1_4748236_1_502_- 	0.0240384615385 	0.00977198697068 	0.0 	0.0121212121212 	0.00867678958785 	0.0131578947368 	0.00613496932515 	0.0418410041841 	0.00947867298578 	0.0 	0.0222222222222 	0.0330578512397 	0.00552486187845 	0.0241935483871 	0.0157480314961 	0.00793650793651 	0.00684931506849 	0.0687022900763 	0.0204081632653 	0.0434782608696 	0.00696864111498 	0.0 	0.0149700598802 	0.00698080279232 
aggregates-combined-assembly1_4755490_1_350_- 	0.0576923076923 	0.0130293159609 	0.0 	0.0 	0.0101229211858 	0.0328947368421 	0.0153374233129 	0.0125523012552 	0.00947867298578 	0.0 	0.0111111111111 	0.0 	0.0110497237569 	0.00806451612903 	0.0 	0.00793650793651 	0.0114155251142 	0.0114503816794 	0.0255102040816 	0.0271739130435 	0.01393728223 	0.0 	0.00748502994012 	0.020942408377 
aggregates-combined-assembly1_4765670_1_520_+ 	0.0288461538462 	0.00977198697068 	0.0 	0.00606060606061 	0.0115690527838 	0.0164473684211 	0.00613496932515 	0.0167364016736 	0.00947867298578 	0.0 	0.0222222222222 	0.0 	0.0331491712707 	0.0201612903226 	0.0 	0.0119047619048 	0.00913242009132 	0.0229007633588 	0.0178571428571 	0.0434782608696 	0.0209059233449 	0.0149253731343 	0.0 	0.0244328097731 
aggregates-combined-assembly1_4771033_1_411_- 	0.0144230769231 	0.00651465798046 	0.0 	0.030303030303 	0.00939985538684 	0.0164473684211 	0.00920245398773 	0.00836820083682 	0.00947867298578 	0.0235294117647 	0.0333333333333 	0.0 	0.0 	0.00806451612903 	0.0 	0.015873015873 	0.013698630137 	0.0152671755725 	0.015306122449 	0.0380434782609 	0.0 	0.0149253731343 	0.00299401197605 	0.0 
aggregates-combined-assembly1_4776760_1_247_- 	0.0192307692308 	0.00977198697068 	0.0 	0.0181818181818 	0.0137382501808 	0.0197368421053 	0.0153374233129 	0.0 	0.0189573459716 	0.0470588235294 	0.0222222222222 	0.0165289256198 	0.00552486187845 	0.0120967741935 	0.0157480314961 	0.015873015873 	0.00684931506849 	0.0114503816794 	0.0255102040816 	0.0326086956522 	0.0209059233449 	0.0 	0.00898203592814 	0.0383944153578 
aggregates-combined-assembly1_4780746_1_373_- 	0.0240384615385 	0.0325732899023 	0.0236686390533 	0.0212121212121 	0.0296456977585 	0.0361842105263 	0.021472392638 	0.0209205020921 	0.00473933649289 	0.0 	0.0111111111111 	0.0495867768595 	0.0276243093923 	0.0241935483871 	0.0 	0.0119047619048 	0.0148401826484 	0.0171755725191 	0.030612244898 	0.0326086956522 	0.0 	0.00746268656716 	0.0119760479042 	0.0104712041885 
aggregates-combined-assembly1_4783952_1_305_- 	0.0 	0.00977198697068 	0.0 	0.0121212121212 	0.00433839479393 	0.0131578947368 	0.0122699386503 	0.00836820083682 	0.0142180094787 	0.0 	0.0 	0.00826446280992 	0.0110497237569 	0.0161290322581 	0.0157480314961 	0.0119047619048 	0.00684931506849 	0.0152671755725 	0.0127551020408 	0.0434782608696 	0.0209059233449 	0.0298507462687 	0.0059880239521 	0.00698080279232 
aggregates-combined-assembly1_4783952_571_947_- 	0.0 	0.00977198697068 	0.0 	0.0121212121212 	0.00433839479393 	0.0131578947368 	0.0122699386503 	0.00836820083682 	0.0142180094787 	0.0 	0.0 	0.00826446280992 	0.0110497237569 	0.0161290322581 	0.0157480314961 	0.0119047619048 	0.00684931506849 	0.0152671755725 	0.0127551020408 	0.0434782608696 	0.0209059233449 	0.0298507462687 	0.0059880239521 	0.00698080279232 
aggregates-combined-assembly1_4796018_1_663_- 	0.0192307692308 	0.0162866449511 	0.0 	0.00606060606061 	0.0115690527838 	0.0131578947368 	0.00613496932515 	0.0418410041841 	0.00947867298578 	0.0235294117647 	0.0222222222222 	0.0 	0.0331491712707 	0.0201612903226 	0.0314960629921 	0.00793650793651 	0.00913242009132 	0.0152671755725 	0.0204081632653 	0.0326086956522 	0.00696864111498 	0.044776119403 	0.0059880239521 	0.020942408377 
aggregates-combined-assembly1_4796415_1_657_- 	0.00961538461538 	0.0162866449511 	0.0 	0.00909090909091 	0.0122921185828 	0.0164473684211 	0.0122699386503 	0.00836820083682 	0.0189573459716 	0.0 	0.0111111111111 	0.0330578512397 	0.00552486187845 	0.0161290322581 	0.0157480314961 	0.0119047619048 	0.00684931506849 	0.0229007633588 	0.015306122449 	0.0380434782609 	0.0 	0.0 	0.00449101796407 	0.0139616055846 
aggregates-combined-assembly1_4796778_1_757_+ 	0.0 	0.00977198697068 	0.0 	0.0151515151515 	0.00723065798988 	0.00657894736842 	0.0122699386503 	0.00836820083682 	0.0 	0.0 	0.0 	0.0165289256198 	0.0 	0.00403225806452 	0.0 	0.0198412698413 	0.00684931506849 	0.0610687022901 	0.0178571428571 	0.0326086956522 	0.0 	0.0 	0.00449101796407 	0.0139616055846 
