  Verrucomicrobia Chlamydiae stramenopiles Aquificae Actinobacteria Chlorobi Diplomonadida Lobosea Euglenozoa unclassified Cyanobacteria Lentisphaerae Rhodophyta candidate Viridiplantae Mycetozoa Thermotogales Dictyoglomi artificial ssDNA Pelobiontida Nitrospirae Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental plasmids Cryptophyta Fusobacteria Korarchaeota ssRNA Crenarchaeota Alveolata Entamoebidae Jakobidae Nanoarchaeota Bacteroidetes Rhizaria dsRNA Parabasalidea Metazoa Acanthamoebidae Thermotogae Glaucocystophyceae Fibrobacteres Euryarchaeota Spirochaetales
53 2 269 3450 51 35 1288 89 218 440 311 1 1343 129 5 2 7 183 622 24 6190 3412 21 3 1 4 1 7 3191 45 1 1 22 2 127 3 15608 6 16 0 307 78 288 2 275 5019 5 38 391 0 569 4 0 5097 81 1 
54 2 227 3440 47 46 1263 91 215 415 305 1 1369 126 2 1 8 187 635 25 6159 3402 14 3 0 6 1 5 3149 31 2 1 19 0 129 2 15664 4 12 0 308 70 280 0 244 5103 4 37 395 0 574 5 1 5166 68 1 
55 3 251 3472 55 41 1275 86 201 400 297 1 1325 134 3 1 8 196 630 24 6216 3391 18 1 0 6 1 3 3144 32 1 1 23 2 135 2 15656 3 12 0 316 73 273 2 237 5201 6 45 389 2 593 7 0 5026 77 1 
56 2 248 3430 41 33 1228 91 217 437 294 2 1300 135 6 3 12 206 620 23 6242 3468 22 3 0 6 1 4 3199 32 2 1 19 0 126 0 15626 3 11 1 298 81 279 3 242 5080 6 39 408 1 605 7 2 5055 69 2 
57 2 245 3436 48 43 1314 95 220 411 304 1 1324 137 3 1 12 202 633 20 6085 3448 18 2 1 10 0 5 3157 37 3 1 18 0 119 0 15689 4 12 0 308 78 295 0 250 5089 5 42 392 0 593 2 2 5073 82 1 
58 2 287 3420 41 43 1302 86 215 429 313 2 1351 138 4 1 9 188 631 24 6140 3458 21 0 0 6 0 4 3126 33 1 1 23 0 143 0 15482 8 15 1 302 86 294 1 244 5144 7 38 390 1 593 4 1 5120 75 1 
59 1 235 3428 47 45 1340 85 225 396 305 0 1364 125 4 2 11 196 649 17 6083 3526 23 2 1 9 0 4 3138 38 2 0 19 0 127 1 15595 6 12 1 296 84 293 2 249 5122 5 37 421 0 582 7 0 5041 83 1 
60 2 260 3475 52 36 1284 92 220 436 321 2 1309 132 3 2 9 192 649 22 6117 3483 22 2 1 6 0 4 3098 35 2 0 20 0 123 2 15622 6 14 0 295 71 284 2 253 5070 5 36 391 1 591 7 1 5113 86 1 
61 2 248 3483 46 48 1305 89 229 435 294 0 1368 147 4 3 8 185 633 23 6098 3427 17 1 1 7 0 4 3253 53 1 0 18 0 128 1 15599 4 16 0 300 76 303 1 238 5036 6 47 395 2 575 6 1 5041 69 0 
62 2 262 3444 46 43 1255 85 207 439 289 1 1324 133 5 2 9 173 651 22 6223 3491 20 1 1 9 0 5 3120 34 2 1 18 1 130 1 15616 4 13 0 303 74 282 2 239 5078 4 43 417 1 584 6 2 5075 82 0 
63 2 244 3491 45 37 1296 92 220 429 294 1 1352 134 6 0 11 184 619 19 6234 3461 19 2 0 6 0 6 3189 34 2 0 21 2 123 2 15535 5 11 1 288 76 287 0 255 5057 6 40 405 0 587 6 1 5063 73 1 
64 3 255 3447 47 32 1264 94 192 434 290 2 1407 130 5 2 12 196 635 23 6181 3446 13 1 1 9 1 7 3145 40 2 0 19 1 119 1 15612 4 12 1 277 76 303 2 247 5080 6 38 400 1 584 5 2 5097 82 1 
65 2 232 3444 46 40 1323 80 216 440 303 2 1341 133 6 3 6 186 605 18 6197 3498 19 0 1 10 1 5 3052 46 3 0 14 0 123 3 15638 2 11 0 291 73 293 2 252 5087 5 39 384 2 618 5 1 5102 75 1 
66 1 273 3495 42 44 1290 92 211 417 304 1 1308 132 4 1 10 210 627 23 6199 3420 19 0 0 8 1 5 3144 39 1 1 15 0 129 2 15653 4 14 1 298 72 281 2 245 5089 3 40 376 0 575 4 2 5075 79 1 
67 2 242 3504 38 46 1284 84 198 438 290 1 1324 131 2 1 11 202 633 20 6124 3431 22 1 1 11 1 3 3173 41 1 1 24 2 139 2 15628 4 5 0 306 75 286 2 239 5126 4 46 391 0 592 5 0 5071 74 2 
68 0 261 3484 50 33 1312 90 219 455 285 2 1363 130 5 2 11 177 617 19 6126 3417 18 1 1 6 0 7 3141 46 1 0 15 2 117 2 15660 4 13 1 299 87 266 0 249 5101 4 43 415 1 575 4 0 5067 76 0 
69 2 230 3486 45 45 1338 86 219 428 289 1 1376 126 6 2 12 199 637 25 6208 3461 17 1 0 13 0 6 3114 38 1 0 21 2 126 2 15474 7 14 0 293 79 280 3 266 5135 7 51 393 2 587 1 2 5051 85 2 
70 1 239 3468 49 45 1300 94 237 441 276 1 1357 134 3 1 8 195 669 21 6167 3439 16 2 1 10 1 5 3107 43 1 0 18 1 122 1 15621 6 12 1 293 71 288 1 252 5112 3 39 382 1 564 3 1 5101 74 1 
71 3 242 3465 44 46 1297 87 199 433 285 0 1370 137 6 1 8 186 610 20 6202 3467 19 2 1 9 0 5 3107 34 3 0 23 2 121 1 15607 5 13 1 319 71 284 0 259 5058 5 38 405 2 575 5 2 5127 78 2 
72 3 274 3440 44 39 1282 89 214 429 271 2 1301 121 3 2 8 178 623 20 6113 3380 23 2 0 8 0 5 3188 43 2 0 18 1 136 1 15677 6 11 0 322 77 296 3 276 5081 4 41 394 1 573 4 2 5131 87 2 
73 1 241 3444 46 47 1296 80 217 444 303 2 1350 141 3 3 13 198 644 20 6224 3423 19 2 1 8 0 6 3149 42 1 0 21 2 141 1 15466 3 14 0 302 73 279 2 260 5169 7 40 372 2 596 5 0 5056 75 0 
74 3 254 3470 56 35 1325 101 228 431 296 2 1402 124 5 1 9 210 644 23 6169 3432 16 1 1 5 1 5 3127 44 2 1 24 1 123 1 15511 5 9 0 299 85 279 3 238 5133 5 38 396 1 565 6 2 5052 86 1 
75 2 251 3447 40 39 1274 77 201 431 303 0 1327 133 6 1 8 192 663 25 6128 3443 14 1 1 9 1 4 3158 42 2 0 29 0 127 2 15565 5 16 0 299 83 287 2 277 5176 3 48 391 1 589 5 1 5068 67 1 
76 0 248 3417 46 41 1303 77 215 461 286 2 1376 145 4 0 14 183 668 21 6158 3376 25 3 1 7 1 3 3161 39 3 1 22 2 111 1 15624 5 13 1 304 72 291 1 260 5095 4 34 404 1 576 6 1 5091 74 1 
77 2 254 3484 46 32 1289 91 207 445 291 2 1341 132 3 2 8 180 623 20 6167 3441 21 2 1 8 0 6 3126 42 2 0 23 1 123 0 15640 4 12 1 311 74 276 0 236 5105 3 42 394 2 571 4 1 5127 71 0 
78 2 259 3442 41 43 1290 93 214 431 304 0 1324 137 4 2 13 193 663 23 6044 3414 20 1 1 9 1 6 3162 37 1 0 27 1 139 0 15591 2 11 1 299 62 284 1 268 5150 6 38 401 1 570 1 0 5183 75 0 
79 1 258 3485 55 46 1340 93 205 442 297 2 1343 136 4 1 11 196 651 20 6159 3381 17 2 1 10 1 2 3116 43 1 0 18 1 143 2 15669 4 12 1 327 71 266 2 240 5014 3 35 394 2 567 3 2 5075 78 2 
80 0 264 3479 50 41 1287 89 197 439 277 2 1356 134 5 1 12 197 622 23 6059 3463 22 2 1 9 0 6 3187 38 1 1 21 1 128 2 15735 3 9 1 306 80 283 1 259 5050 3 50 389 1 560 6 1 5043 79 1 
