  LD GT CB CE PL GH
478 3264 5964 16703 20987 39 548 
479 3383 5895 16356 21218 38 543 
480 3285 5979 16564 21022 39 534 
481 3373 5863 16606 20986 42 570 
482 3279 5856 16514 21197 45 569 
483 3299 5903 16490 21140 40 567 
484 3283 5954 16422 21178 39 554 
485 3322 5840 16792 20910 27 568 
486 3252 5939 16720 20958 50 564 
487 3260 5947 16366 21323 50 560 
488 3345 5994 16453 21037 53 548 
489 3337 5863 16486 21138 36 559 
490 3234 6048 16634 20975 41 545 
491 3242 5935 16532 21053 44 562 
492 3293 5900 16682 21002 40 566 
493 3321 6010 16632 20925 38 580 
494 3264 5919 16772 20922 46 574 
495 3286 5958 16614 20980 54 559 
496 3297 5944 16672 20937 37 542 
497 3288 6097 16659 20826 33 568 
498 3292 5952 16637 20979 49 561 
499 3296 6034 16644 20912 46 559 
500 3298 5999 16618 20969 35 586 
501 3268 5913 16564 21091 48 579 
502 3383 5911 16608 20961 48 560 
503 3279 5928 16605 21050 47 551 
504 3269 5883 16622 21102 38 584 
505 3334 5937 16477 21058 35 573 
506 3324 5924 16617 21015 40 570 
507 3303 5887 16659 21028 41 566 
508 3368 5908 16697 20960 45 553 
509 3321 5984 16639 20885 40 561 
510 3266 5893 16627 20921 49 615 
511 3386 5870 16557 20939 46 579 
512 3363 6041 16474 21074 44 542 
513 3294 5950 16431 21204 52 573 
514 3335 5887 16635 20988 36 558 
515 3367 6062 16458 21034 30 542 
516 3280 5969 16540 21027 41 540 
517 3280 5934 16584 21084 50 583 
518 3344 5978 16600 20940 40 586 
519 3339 5978 16698 20903 40 555 
520 3395 5975 16692 20778 42 571 
521 3312 5940 16625 21092 34 532 
522 3199 5949 16715 21070 31 551 
523 3355 5942 16657 20972 50 556 
524 3320 5889 16652 20995 48 549 
525 3339 5865 16697 20945 43 583 
526 3312 5886 16508 21139 38 566 
527 3258 5966 16731 20971 53 554 
528 3237 5976 16605 21039 39 527 
529 3215 5913 16611 21088 34 555 
530 3211 5968 16626 21035 37 555 
531 3283 5960 16499 21013 47 588 
532 3326 5837 16805 20875 56 567 
533 3336 5884 16664 20920 30 571 
534 3182 5870 16546 21235 37 577 
535 3316 5874 16609 21126 54 526 
536 3224 6052 16617 20881 37 565 
537 3295 6001 16675 20884 54 537 
538 3397 6001 16641 20840 51 555 
539 3291 5911 16564 21076 42 582 
540 3248 5949 16598 21104 45 529 
541 3241 5867 16716 21036 43 531 
542 3269 5908 16702 20984 34 587 
543 3326 5913 16657 20983 42 565 
544 3323 5906 16667 20938 38 573 
545 3250 5946 16727 20959 46 533 
546 3382 5957 16533 20982 45 580 
547 3245 5884 16558 21098 38 554 
548 3205 5954 16755 20884 38 556 
549 3274 6021 16645 20939 38 593 
550 3311 5908 16676 20933 43 540 
551 3347 6057 16568 20889 46 541 
552 3260 6057 16548 20990 42 528 
553 3358 5970 16652 20823 43 572 
554 3284 5950 16546 21109 38 546 
555 3308 5990 16561 20998 38 555 
556 3256 6026 16670 20933 41 546 
557 3286 5884 16530 21216 27 573 
558 3320 5922 16623 21010 53 544 
559 3324 5898 16777 20839 52 575 
560 3275 5948 16594 21056 38 574 
561 3253 5959 16635 21022 42 546 
562 3310 5951 16509 21128 40 555 
563 3307 5938 16593 21036 37 534 
564 3350 5902 16592 20981 52 512 
565 3318 5977 16738 20855 42 529 
566 3305 5842 16580 21028 46 600 
567 3290 5960 16610 21006 40 565 
568 3312 5914 16683 20903 44 539 
569 3264 5917 16756 21080 40 536 
570 3371 6003 16590 20916 42 555 
571 3318 6033 16513 20844 40 618 
572 3272 5883 16695 20992 41 564 
573 3357 5874 16722 20931 30 574 
574 3261 6012 16653 20967 37 541 
575 3237 6005 16528 21160 32 535 
576 3361 5920 16613 20951 40 540 
577 3283 6008 16622 21039 50 524 
578 3384 5900 16470 21142 46 541 
579 3269 5987 16640 20994 38 569 
580 3263 5955 16601 20990 32 585 
581 3299 5852 16617 21067 35 544 
582 3279 6005 16767 20878 29 565 
583 3360 5828 16656 21039 47 553 
584 3244 6006 16634 21034 46 529 
585 3325 5892 16716 21023 43 583 
586 3272 5904 16686 21121 48 530 
587 3307 5864 16634 21013 37 613 
588 3347 5938 16568 21002 36 558 
589 3221 5916 16529 21196 56 558 
590 3356 5976 16476 21115 34 579 
591 3296 5983 16637 20964 53 572 
592 3283 5927 16636 20997 37 586 
593 3287 5881 16597 21102 35 540 
594 3293 5971 16474 21054 37 570 
595 3287 5839 16546 21132 45 550 
596 3234 5997 16605 21032 42 561 
597 3293 5993 16615 20973 38 577 
598 3341 5874 16740 20952 45 561 
599 3347 5881 16663 20994 51 556 
600 3307 5987 16630 20999 48 542 
601 3404 5886 16534 21031 50 581 
602 3274 5926 16541 21126 41 570 
603 3311 5890 16698 20952 40 535 
604 3247 6066 16591 20921 35 567 
605 3307 5895 16538 21077 34 574 
606 3279 5865 16788 21042 43 541 
607 3323 6035 16596 20970 41 563 
608 3380 5818 16552 21092 57 554 
609 3256 6007 16528 21061 45 569 
610 3298 5907 16651 21073 45 522 
611 3359 6026 16566 20862 45 564 
612 3332 6053 16487 20995 41 572 
613 3337 5792 16628 21058 44 576 
614 3335 5832 16583 21143 33 575 
615 3320 5877 16831 20903 35 575 
616 3357 6003 16505 21012 35 571 
617 3324 6036 16574 20921 46 538 
618 3273 6028 16623 20902 42 566 
619 3323 5909 16556 21121 35 557 
620 3205 5830 16531 21240 40 573 
621 3282 5940 16696 21049 49 585 
622 3309 6027 16559 21007 38 551 
623 3154 5932 16773 20978 41 580 
624 3243 6063 16710 20887 42 550 
625 3274 5847 16750 21039 55 535 
626 3327 5954 16671 20920 42 574 
627 3342 5846 16815 20868 35 597 
628 3215 5879 16536 21214 39 552 
629 3267 5843 16762 20977 46 586 
630 3206 6032 16449 21194 50 558 
631 3297 5927 16790 20848 42 530 
632 3247 5861 16734 20972 46 551 
633 3331 5970 16556 21054 49 565 
634 3261 5960 16620 21020 39 590 
635 3347 5879 16533 21154 38 536 
636 3271 5899 16668 21033 32 563 
637 3205 5923 16570 21167 34 572 
638 3234 5939 16699 21010 48 541 
639 3262 5962 16458 21169 42 539 
640 3177 5977 16573 21096 34 585 
641 3286 5988 16672 20838 42 610 
642 3234 5975 16485 21139 43 562 
643 3374 5841 16597 20978 29 592 
644 3245 5876 16631 21089 54 559 
645 3312 5961 16460 21062 51 599 
646 3311 5848 16713 21004 40 537 
647 3321 5841 16602 21121 41 565 
648 3373 5946 16658 20864 48 540 
649 3264 5930 16675 21039 44 535 
650 3339 5966 16581 20983 44 532 
651 3206 5892 16435 21292 40 546 
652 3239 5935 16517 21155 37 570 
653 3277 5873 16771 21015 42 534 
654 3315 5928 16552 21078 45 599 
655 3251 6014 16389 21155 35 583 
656 3245 6022 16483 21031 46 566 
657 3281 5864 16588 21136 35 581 
658 3309 5973 16534 20994 58 564 
659 3373 5899 16558 21050 36 551 
660 3362 5967 16515 20999 41 549 
661 3269 5972 16643 20994 43 537 
662 3368 6024 16488 21015 37 552 
663 3320 5915 16813 20807 35 558 
664 3247 5951 16671 20914 42 553 
665 3356 5893 16607 21020 42 559 
666 3267 5831 16659 21070 41 571 
667 3283 5936 16486 21197 35 522 
668 3348 5940 16645 20916 48 572 
669 3358 5936 16560 21117 49 573 
670 3317 5969 16655 20943 47 542 
671 3280 6015 16630 20928 55 581 
672 3300 5958 16633 20992 34 550 
673 3299 5982 16641 20898 32 560 
674 3285 5918 16704 20951 38 591 
675 3280 5992 16506 21067 45 556 
676 3376 5892 16448 21196 41 569 
677 3241 5902 16695 21076 32 535 
678 3270 5903 16677 20993 39 560 
679 3322 5961 16609 21019 45 580 
680 3274 6005 16567 20987 47 556 
681 3181 6007 16632 21126 36 537 
682 3349 5979 16598 20908 46 570 
683 3286 5940 16580 21000 42 564 
684 3347 6008 16631 20932 43 546 
685 3203 5984 16629 21075 43 511 
686 3255 6020 16642 20914 48 566 
687 3286 5900 16571 21115 41 562 
688 3265 5990 16538 21100 49 542 
689 3300 5930 16655 21048 46 507 
690 3267 5952 16609 21024 46 547 
691 3169 5971 16603 21106 49 573 
692 3289 5956 16436 21153 36 583 
693 3316 5861 16487 21176 39 518 
694 3297 5878 16572 21118 51 551 
695 3307 5975 16447 21063 37 579 
696 3355 5911 16546 20989 32 587 
697 3269 5804 16658 21062 41 590 
698 3352 5985 16528 20929 34 547 
699 3336 6024 16513 20995 48 542 
700 3307 5858 16785 20935 49 515 
701 3187 5915 16628 21081 40 583 
702 3401 5984 16674 20841 46 544 
703 3300 5854 16730 20993 44 552 
704 3331 5936 16625 21069 31 554 
705 3297 6041 16559 21057 38 554 
706 3308 5872 16669 21027 38 551 
707 3297 5898 16598 21032 39 561 
