  Verrucomicrobia Chlamydiae Aquificae Actinobacteria Chlorobi Lobosea Euglenozoa Cyanobacteria ssDNA candidate Viridiplantae Mycetozoa Dictyoglomi Deinococcus-Thermus Proteobacteria Tenericutes Acidobacteria Spirochaetes Plasmodiophorida Firmicutes dsDNA Chloroflexi Planctomycetes Fungi environmental Fusobacteria Entamoebidae Crenarchaeota Alveolata Korarchaeota Jakobidae Bacteroidetes Rhizaria Parabasalidea Metazoa Thermotogae Fibrobacteres Euryarchaeota
82 5271 5535 100 60 4948 17 504 1782 417 3092 366 2 2 6 1111 8 3430 1665 20 0 6 4 547 67 1 1051 0 15934 0 132 14 280 1521 1055 92 59 592 0 
83 5242 5546 114 61 4905 25 490 1827 399 3035 363 5 2 2 1088 5 3361 1639 23 1 18 1 515 76 0 1016 0 16088 0 121 14 293 1539 1107 94 65 590 0 
84 5251 5636 130 50 4893 33 501 1796 400 2998 363 9 1 2 1061 6 3409 1674 22 0 14 0 522 65 1 1072 0 15995 0 118 17 292 1534 1068 92 78 572 0 
85 5159 5549 91 51 4912 23 517 1769 436 3053 403 2 2 2 1068 8 3484 1643 17 1 13 2 522 63 1 1063 0 16024 1 119 18 283 1513 1120 84 53 616 0 
86 5197 5746 106 50 4897 29 483 1799 389 3029 348 3 6 4 1159 8 3417 1626 6 1 7 3 556 55 0 989 0 16061 0 131 14 291 1584 1012 91 68 544 0 
87 5183 5666 103 58 4878 33 527 1801 403 3023 382 5 2 1 1115 3 3530 1622 13 0 13 3 500 57 1 1011 1 15982 0 128 21 301 1529 1083 78 62 553 0 
88 5290 5606 97 44 4914 31 509 1841 405 3033 352 2 1 1 1111 7 3505 1672 25 0 13 3 519 71 0 1066 0 15783 0 119 14 295 1507 1091 95 67 578 0 
89 5308 5440 102 52 4931 29 528 1811 405 2960 386 3 4 2 1144 2 3478 1687 20 1 13 2 536 64 0 1026 1 15969 0 123 15 316 1530 1049 92 52 589 0 
90 5238 5619 115 59 4967 34 518 1836 425 3025 386 4 1 4 1065 8 3471 1666 21 0 11 2 542 59 1 1061 0 15793 0 121 15 281 1481 1108 88 61 618 1 
91 5302 5633 126 64 4841 35 518 1779 433 3035 366 3 1 2 1100 9 3397 1599 18 0 9 1 550 72 1 981 1 15935 1 134 16 316 1533 1110 100 55 571 1 
92 5276 5656 94 57 4968 19 499 1864 386 3082 377 4 3 4 1121 7 3403 1589 19 1 10 2 495 59 1 1030 0 15866 0 126 19 282 1533 1070 97 55 603 0 
93 5278 5632 107 57 4973 34 567 1745 425 3000 404 2 3 2 1080 2 3535 1578 22 0 7 1 575 57 1 1066 0 15859 0 125 20 266 1485 1059 92 67 539 0 
94 5250 5656 102 52 5011 33 477 1835 407 3157 369 1 2 7 1054 5 3417 1669 23 0 14 2 544 66 0 1041 0 15756 0 118 17 275 1507 1062 90 52 592 0 
95 5173 5611 114 56 4911 24 548 1807 436 3074 401 4 3 3 1135 6 3423 1657 19 0 11 1 543 77 0 1052 1 15887 0 123 15 284 1483 1063 85 61 586 1 
96 5195 5627 103 50 4919 28 487 1861 391 2961 383 3 1 5 1035 2 3471 1612 19 1 13 1 555 63 0 1041 0 16016 1 127 17 255 1527 1127 92 71 627 0 
97 5256 5536 110 77 4886 32 541 1810 405 3076 390 2 1 2 1078 6 3427 1579 18 0 11 0 540 74 1 1043 1 16030 0 136 15 277 1574 1051 95 61 572 1 
98 5253 5507 117 63 4931 32 513 1889 400 3015 406 2 3 1 1074 6 3510 1650 19 0 11 2 516 58 0 1071 0 15911 0 114 15 271 1527 1067 102 67 556 0 
99 5232 5547 107 51 4951 28 521 1815 426 3072 366 3 4 2 1101 7 3424 1618 21 0 11 3 489 65 0 1044 0 15999 0 108 17 276 1533 1061 88 69 588 0 
100 5261 5706 107 65 4839 34 508 1807 390 3067 398 0 1 3 1136 1 3488 1682 20 1 10 0 549 63 2 1032 1 15737 1 131 15 279 1546 1081 91 65 553 1 
101 5266 5559 120 52 4939 35 493 1776 405 3016 400 4 2 3 1074 4 3389 1652 18 0 14 1 532 75 1 1058 0 16048 0 126 18 273 1508 1054 82 58 625 0 
102 5197 5628 125 60 4810 34 503 1849 395 3063 370 6 4 3 1127 6 3391 1585 13 1 12 1 549 67 2 1039 0 16086 0 113 17 281 1527 1059 89 54 610 0 
103 5259 5528 107 52 4924 35 518 1775 402 3068 390 3 3 2 1067 3 3445 1613 16 0 12 0 519 62 1 1041 0 16027 0 109 19 300 1534 1079 90 69 597 0 
104 5301 5641 96 51 4871 28 511 1807 389 2989 384 4 2 4 1083 8 3564 1649 19 1 11 2 558 56 0 1059 1 15798 0 127 16 296 1547 1053 89 72 581 0 
105 5258 5636 121 40 4844 31 515 1805 423 3065 377 4 5 2 1088 2 3479 1654 20 1 10 2 530 56 1 1082 1 15850 0 127 9 299 1527 1069 92 68 573 0 
106 5169 5649 110 52 4789 30 553 1792 415 3006 389 6 2 3 1112 6 3439 1675 18 1 12 4 512 62 1 1052 0 16027 0 133 14 261 1522 1130 95 57 566 1 
107 5202 5587 117 65 4959 33 517 1842 403 3003 389 4 2 4 1094 7 3439 1695 25 0 8 4 539 55 1 1021 1 15953 1 124 18 288 1510 1059 100 57 580 1 
108 5389 5580 114 52 4898 43 483 1799 443 3045 369 7 2 7 1080 9 3354 1635 22 0 12 2 547 59 0 1074 0 15889 1 126 20 270 1509 1083 104 57 579 0 
109 5274 5572 107 52 4852 30 520 1816 419 3086 390 7 2 4 1146 6 3355 1676 15 1 9 2 534 69 0 1070 0 15962 0 120 17 309 1505 1065 83 61 577 0 
110 5267 5591 126 49 4877 20 490 1810 436 3048 350 3 1 3 1017 3 3460 1651 19 1 12 2 511 54 1 1069 1 16180 0 131 15 249 1439 1020 83 64 601 0 
111 5273 5511 106 55 4864 37 522 1803 417 3002 384 3 6 3 1092 4 3419 1664 13 0 9 5 545 65 0 1028 0 16016 0 111 19 278 1541 1129 81 60 588 0 
112 5237 5585 121 52 4874 26 496 1849 430 3015 393 5 0 4 1155 4 3456 1578 11 0 18 2 490 67 0 1044 0 16029 0 118 15 289 1486 1076 101 64 602 0 
