  LD GT CB CE LO PL GH
461 2995 3255 22336 20220 1 0 623 
462 3115 3366 22276 20049 1 0 619 
463 3145 3278 22171 20224 1 1 610 
464 3087 3211 22296 20206 0 0 616 
465 3067 3257 22268 20237 2 0 600 
466 3105 3209 22221 20259 2 1 627 
467 3129 3260 22387 20045 1 0 609 
468 3164 3206 22340 20083 1 0 619 
469 3102 3256 22398 20105 1 1 592 
470 3079 3243 22378 20124 1 1 600 
471 3124 3273 22205 20230 1 1 585 
472 3042 3220 22233 20304 1 1 621 
473 3084 3262 22417 20144 0 0 542 
474 3080 3205 22294 20213 2 1 593 
475 3102 3244 22314 20155 2 0 608 
476 3134 3227 22387 20085 1 1 582 
477 3083 3215 22504 20050 0 1 586 
478 3192 3226 22180 20189 1 1 630 
479 3104 3266 22293 20164 2 0 600 
480 3075 3188 22395 20144 2 1 617 
481 3017 3304 22260 20259 0 1 594 
482 3108 3262 22278 20143 2 0 623 
483 3048 3289 22236 20235 0 1 623 
484 3079 3263 22369 20148 1 0 585 
485 3103 3210 22381 20090 1 0 638 
486 3137 3325 22297 20082 1 1 615 
487 3091 3281 22366 20130 1 1 554 
488 3082 3263 22299 20145 2 1 638 
489 3126 3236 22415 20039 1 1 610 
490 3111 3221 22296 20189 1 0 618 
491 3087 3253 22363 20155 2 1 582 
492 3087 3223 22524 20024 2 1 585 
493 3093 3245 22426 20081 1 1 585 
494 3093 3272 22272 20167 1 1 611 
495 3112 3177 22402 20135 2 1 604 
496 3114 3173 22438 20100 0 1 600 
497 3103 3265 22299 20177 2 1 604 
498 3092 3198 22456 20107 2 0 621 
499 3110 3167 22301 20214 1 1 631 
500 3034 3230 22283 20264 0 1 620 
501 3105 3252 22492 19997 0 0 598 
502 3144 3260 22206 20182 0 0 623 
503 3046 3187 22454 20124 1 1 606 
504 3098 3183 22381 20156 1 1 609 
505 3082 3257 22424 20040 0 1 592 
506 3108 3317 22404 20043 1 0 563 
507 3121 3238 22359 20076 1 1 618 
508 3154 3212 22347 20109 0 0 624 
